"temp","Points:0","Points:1","Points:2"
483.73,0,0.0004,0.0003475
483.75,2.6e-06,0.0004,0.0003475
484.07,5.2e-06,0.0004,0.0003475
484.44,7.8e-06,0.0004,0.0003475
485.1,1.04e-05,0.0004,0.0003475
485.81,1.3e-05,0.0004,0.0003475
486.79,1.56e-05,0.0004,0.0003475
487.86,1.82e-05,0.0004,0.0003475
489.16,2.08e-05,0.0004,0.0003475
490.57,2.34e-05,0.0004,0.0003475
492.19,2.6e-05,0.0004,0.0003475
493.94,2.86e-05,0.0004,0.0003475
495.88,3.12e-05,0.0004,0.0003475
497.97,3.38e-05,0.0004,0.0003475
500.21,3.64e-05,0.0004,0.0003475
502.63,3.9e-05,0.0004,0.0003475
505.18,4.16e-05,0.0004,0.0003475
507.93,4.42e-05,0.0004,0.0003475
510.78,4.68e-05,0.0004,0.0003475
513.85,4.94e-05,0.0004,0.0003475
516.99,5.2e-05,0.0004,0.0003475
520.38,5.46e-05,0.0004,0.0003475
523.82,5.72e-05,0.0004,0.0003475
527.51,5.98e-05,0.0004,0.0003475
531.23,6.24e-05,0.0004,0.0003475
535.22,6.5e-05,0.0004,0.0003475
539.23,6.76e-05,0.0004,0.0003475
543.5,7.02e-05,0.0004,0.0003475
547.8,7.28e-05,0.0004,0.0003475
552.31,7.54e-05,0.0004,0.0003475
556.88,7.8e-05,0.0004,0.0003475
561.62,8.06e-05,0.0004,0.0003475
566.43,8.32e-05,0.0004,0.0003475
571.38,8.58e-05,0.0004,0.0003475
576.41,8.84e-05,0.0004,0.0003475
581.56,9.1e-05,0.0004,0.0003475
586.8,9.36e-05,0.0004,0.0003475
592.16,9.62e-05,0.0004,0.0003475
597.64,9.88e-05,0.0004,0.0003475
603.23,0.0001014,0.0004,0.0003475
609,0.000104,0.0004,0.0003475
614.88,0.0001066,0.0004,0.0003475
620.91,0.0001092,0.0004,0.0003475
627.01,0.0001118,0.0004,0.0003475
633.22,0.0001144,0.0004,0.0003475
639.47,0.000117,0.0004,0.0003475
645.82,0.0001196,0.0004,0.0003475
652.19,0.0001222,0.0004,0.0003475
658.66,0.0001248,0.0004,0.0003475
665.14,0.0001274,0.0004,0.0003475
671.72,0.00013,0.0004,0.0003475
678.31,0.0001326,0.0004,0.0003475
684.98,0.0001352,0.0004,0.0003475
691.67,0.0001378,0.0004,0.0003475
698.43,0.0001404,0.0004,0.0003475
705.2,0.000143,0.0004,0.0003475
712.03,0.0001456,0.0004,0.0003475
718.88,0.0001482,0.0004,0.0003475
725.76,0.0001508,0.0004,0.0003475
732.67,0.0001534,0.0004,0.0003475
739.6,0.000156,0.0004,0.0003475
746.54,0.0001586,0.0004,0.0003475
753.5,0.0001612,0.0004,0.0003475
760.46,0.0001638,0.0004,0.0003475
767.43,0.0001664,0.0004,0.0003475
774.41,0.000169,0.0004,0.0003475
781.38,0.0001716,0.0004,0.0003475
788.35,0.0001742,0.0004,0.0003475
795.3,0.0001768,0.0004,0.0003475
802.24,0.0001794,0.0004,0.0003475
809.18,0.000182,0.0004,0.0003475
816.08,0.0001846,0.0004,0.0003475
822.97,0.0001872,0.0004,0.0003475
829.82,0.0001898,0.0004,0.0003475
836.66,0.0001924,0.0004,0.0003475
843.44,0.000195,0.0004,0.0003475
850.21,0.0001976,0.0004,0.0003475
856.91,0.0002002,0.0004,0.0003475
863.6,0.0002028,0.0004,0.0003475
870.21,0.0002054,0.0004,0.0003475
876.81,0.000208,0.0004,0.0003475
883.33,0.0002106,0.0004,0.0003475
889.81,0.0002132,0.0004,0.0003475
896.22,0.0002158,0.0004,0.0003475
902.6,0.0002184,0.0004,0.0003475
908.89,0.000221,0.0004,0.0003475
915.13,0.0002236,0.0004,0.0003475
921.3,0.0002262,0.0004,0.0003475
927.41,0.0002288,0.0004,0.0003475
933.44,0.0002314,0.0004,0.0003475
939.4,0.000234,0.0004,0.0003475
945.3,0.0002366,0.0004,0.0003475
