"temp","Points:0","Points:1","Points:2"
476.48,0,0.0004,0.0003456
476.48,2.6e-06,0.0004,0.0003456
476.52,5.2e-06,0.0004,0.0003456
477.02,7.8e-06,0.0004,0.0003456
477.53,1.04e-05,0.0004,0.0003456
478.03,1.3e-05,0.0004,0.0003456
478.64,1.56e-05,0.0004,0.0003456
479.64,1.82e-05,0.0004,0.0003456
480.64,2.08e-05,0.0004,0.0003456
481.64,2.34e-05,0.0004,0.0003456
482.82,2.6e-05,0.0004,0.0003456
484.31,2.86e-05,0.0004,0.0003456
485.79,3.12e-05,0.0004,0.0003456
487.28,3.38e-05,0.0004,0.0003456
489.02,3.64e-05,0.0004,0.0003456
490.98,3.9e-05,0.0004,0.0003456
492.94,4.16e-05,0.0004,0.0003456
494.9,4.42e-05,0.0004,0.0003456
497.18,4.68e-05,0.0004,0.0003456
499.61,4.94e-05,0.0004,0.0003456
502.03,5.2e-05,0.0004,0.0003456
504.45,5.46e-05,0.0004,0.0003456
507.24,5.72e-05,0.0004,0.0003456
510.1,5.98e-05,0.0004,0.0003456
512.96,6.24e-05,0.0004,0.0003456
515.82,6.5e-05,0.0004,0.0003456
519.09,6.76e-05,0.0004,0.0003456
522.36,7.02e-05,0.0004,0.0003456
525.63,7.28e-05,0.0004,0.0003456
528.96,7.54e-05,0.0004,0.0003456
532.61,7.8e-05,0.0004,0.0003456
536.27,8.06e-05,0.0004,0.0003456
539.92,8.32e-05,0.0004,0.0003456
543.68,8.58e-05,0.0004,0.0003456
547.69,8.84e-05,0.0004,0.0003456
551.7,9.1e-05,0.0004,0.0003456
555.7,9.36e-05,0.0004,0.0003456
559.86,9.62e-05,0.0004,0.0003456
564.18,9.88e-05,0.0004,0.0003456
568.51,0.0001014,0.0004,0.0003456
572.84,0.000104,0.0004,0.0003456
577.34,0.0001066,0.0004,0.0003456
581.95,0.0001092,0.0004,0.0003456
586.57,0.0001118,0.0004,0.0003456
591.18,0.0001144,0.0004,0.0003456
595.98,0.000117,0.0004,0.0003456
600.84,0.0001196,0.0004,0.0003456
605.7,0.0001222,0.0004,0.0003456
610.56,0.0001248,0.0004,0.0003456
615.6,0.0001274,0.0004,0.0003456
620.66,0.00013,0.0004,0.0003456
625.72,0.0001326,0.0004,0.0003456
630.79,0.0001352,0.0004,0.0003456
636.01,0.0001378,0.0004,0.0003456
641.22,0.0001404,0.0004,0.0003456
646.44,0.000143,0.0004,0.0003456
651.68,0.0001456,0.0004,0.0003456
657.01,0.0001482,0.0004,0.0003456
662.34,0.0001508,0.0004,0.0003456
667.67,0.0001534,0.0004,0.0003456
673.03,0.000156,0.0004,0.0003456
678.43,0.0001586,0.0004,0.0003456
683.84,0.0001612,0.0004,0.0003456
689.24,0.0001638,0.0004,0.0003456
694.65,0.0001664,0.0004,0.0003456
700.08,0.000169,0.0004,0.0003456
705.5,0.0001716,0.0004,0.0003456
710.93,0.0001742,0.0004,0.0003456
716.34,0.0001768,0.0004,0.0003456
721.75,0.0001794,0.0004,0.0003456
727.15,0.000182,0.0004,0.0003456
732.56,0.0001846,0.0004,0.0003456
737.91,0.0001872,0.0004,0.0003456
743.26,0.0001898,0.0004,0.0003456
748.6,0.0001924,0.0004,0.0003456
753.94,0.000195,0.0004,0.0003456
759.19,0.0001976,0.0004,0.0003456
764.44,0.0002002,0.0004,0.0003456
769.68,0.0002028,0.0004,0.0003456
774.91,0.0002054,0.0004,0.0003456
780.03,0.000208,0.0004,0.0003456
785.15,0.0002106,0.0004,0.0003456
