"temp","Points:0","Points:1","Points:2"
539.48,0,0.0004,0.0003475
539.5,2.6e-06,0.0004,0.0003475
539.94,5.2e-06,0.0004,0.0003475
540.43,7.8e-06,0.0004,0.0003475
541.31,1.04e-05,0.0004,0.0003475
542.28,1.3e-05,0.0004,0.0003475
543.59,1.56e-05,0.0004,0.0003475
545.02,1.82e-05,0.0004,0.0003475
546.77,2.08e-05,0.0004,0.0003475
548.66,2.34e-05,0.0004,0.0003475
550.84,2.6e-05,0.0004,0.0003475
553.19,2.86e-05,0.0004,0.0003475
555.79,3.12e-05,0.0004,0.0003475
558.6,3.38e-05,0.0004,0.0003475
561.62,3.64e-05,0.0004,0.0003475
564.87,3.9e-05,0.0004,0.0003475
568.3,4.16e-05,0.0004,0.0003475
572,4.42e-05,0.0004,0.0003475
575.83,4.68e-05,0.0004,0.0003475
579.95,4.94e-05,0.0004,0.0003475
584.19,5.2e-05,0.0004,0.0003475
588.73,5.46e-05,0.0004,0.0003475
593.35,5.72e-05,0.0004,0.0003475
598.31,5.98e-05,0.0004,0.0003475
603.31,6.24e-05,0.0004,0.0003475
608.67,6.5e-05,0.0004,0.0003475
614.06,6.76e-05,0.0004,0.0003475
619.79,7.02e-05,0.0004,0.0003475
625.56,7.28e-05,0.0004,0.0003475
631.64,7.54e-05,0.0004,0.0003475
637.78,7.8e-05,0.0004,0.0003475
644.2,8.06e-05,0.0004,0.0003475
650.7,8.32e-05,0.0004,0.0003475
657.43,8.58e-05,0.0004,0.0003475
664.27,8.84e-05,0.0004,0.0003475
671.3,9.1e-05,0.0004,0.0003475
678.46,9.36e-05,0.0004,0.0003475
685.79,9.62e-05,0.0004,0.0003475
693.25,9.88e-05,0.0004,0.0003475
700.84,0.0001014,0.0004,0.0003475
708.58,0.000104,0.0004,0.0003475
716.43,0.0001066,0.0004,0.0003475
724.43,0.0001092,0.0004,0.0003475
732.52,0.0001118,0.0004,0.0003475
740.76,0.0001144,0.0004,0.0003475
749.06,0.000117,0.0004,0.0003475
757.51,0.0001196,0.0004,0.0003475
766.01,0.0001222,0.0004,0.0003475
774.66,0.0001248,0.0004,0.0003475
783.33,0.0001274,0.0004,0.0003475
792.16,0.00013,0.0004,0.0003475
800.99,0.0001326,0.0004,0.0003475
809.96,0.0001352,0.0004,0.0003475
818.94,0.0001378,0.0004,0.0003475
828.02,0.0001404,0.0004,0.0003475
837.12,0.000143,0.0004,0.0003475
846.3,0.0001456,0.0004,0.0003475
855.49,0.0001482,0.0004,0.0003475
864.74,0.0001508,0.0004,0.0003475
874,0.0001534,0.0004,0.0003475
883.29,0.000156,0.0004,0.0003475
892.58,0.0001586,0.0004,0.0003475
901.88,0.0001612,0.0004,0.0003475
911.15,0.0001638,0.0004,0.0003475
920.4,0.0001664,0.0004,0.0003475
929.62,0.000169,0.0004,0.0003475
938.81,0.0001716,0.0004,0.0003475
948.02,0.0001742,0.0004,0.0003475
957.23,0.0001768,0.0004,0.0003475
966.61,0.0001794,0.0004,0.0003475
976.05,0.000182,0.0004,0.0003475
985.47,0.0001846,0.0004,0.0003475
994.9,0.0001872,0.0004,0.0003475
1004.2,0.0001898,0.0004,0.0003475
1013.5,0.0001924,0.0004,0.0003475
1022.6,0.000195,0.0004,0.0003475
1031.8,0.0001976,0.0004,0.0003475
1040.8,0.0002002,0.0004,0.0003475
1049.8,0.0002028,0.0004,0.0003475
1058.6,0.0002054,0.0004,0.0003475
1067.5,0.000208,0.0004,0.0003475
1076.2,0.0002106,0.0004,0.0003475
1084.9,0.0002132,0.0004,0.0003475
1093.5,0.0002158,0.0004,0.0003475
1102,0.0002184,0.0004,0.0003475
1110.4,0.000221,0.0004,0.0003475
1118.8,0.0002236,0.0004,0.0003475
1127,0.0002262,0.0004,0.0003475
1135.2,0.0002288,0.0004,0.0003475
1143.3,0.0002314,0.0004,0.0003475
1151.2,0.000234,0.0004,0.0003475
1159.1,0.0002366,0.0004,0.0003475
1166.8,0.0002392,0.0004,0.0003475
1174.5,0.0002418,0.0004,0.0003475
1182.1,0.0002444,0.0004,0.0003475
1189.5,0.000247,0.0004,0.0003475
1196.8,0.0002496,0.0004,0.0003475
1204.1,0.0002522,0.0004,0.0003475
1211.2,0.0002548,0.0004,0.0003475
1218.2,0.0002574,0.0004,0.0003475
1225.1,0.00026,0.0004,0.0003475
1231.9,0.0002626,0.0004,0.0003475
1238.5,0.0002652,0.0004,0.0003475
1245.1,0.0002678,0.0004,0.0003475
1251.5,0.0002704,0.0004,0.0003475
1257.8,0.000273,0.0004,0.0003475
1264,0.0002756,0.0004,0.0003475
1270.1,0.0002782,0.0004,0.0003475
1276,0.0002808,0.0004,0.0003475
1281.9,0.0002834,0.0004,0.0003475
1287.6,0.000286,0.0004,0.0003475
1293.2,0.0002886,0.0004,0.0003475
1298.7,0.0002912,0.0004,0.0003475
1304.1,0.0002938,0.0004,0.0003475
1309.4,0.0002964,0.0004,0.0003475
1314.6,0.000299,0.0004,0.0003475
1319.6,0.0003016,0.0004,0.0003475
1324.6,0.0003042,0.0004,0.0003475
1329.5,0.0003068,0.0004,0.0003475
1334.2,0.0003094,0.0004,0.0003475
1338.8,0.000312,0.0004,0.0003475
1343.4,0.0003146,0.0004,0.0003475
1347.8,0.0003172,0.0004,0.0003475
1352.2,0.0003198,0.0004,0.0003475
1356.5,0.0003224,0.0004,0.0003475
1360.6,0.000325,0.0004,0.0003475
1364.7,0.0003276,0.0004,0.0003475
1368.6,0.0003302,0.0004,0.0003475
1372.6,0.0003328,0.0004,0.0003475
1376.3,0.0003354,0.0004,0.0003475
1380.1,0.000338,0.0004,0.0003475
1383.7,0.0003406,0.0004,0.0003475
1387.3,0.0003432,0.0004,0.0003475
1390.8,0.0003458,0.0004,0.0003475
1394.2,0.0003484,0.0004,0.0003475
1397.5,0.000351,0.0004,0.0003475
1400.8,0.0003536,0.0004,0.0003475
1404,0.0003562,0.0004,0.0003475
1407.1,0.0003588,0.0004,0.0003475
1410.2,0.0003614,0.0004,0.0003475
1413.2,0.000364,0.0004,0.0003475
1416.1,0.0003666,0.0004,0.0003475
1419,0.0003692,0.0004,0.0003475
1421.9,0.0003718,0.0004,0.0003475
1424.6,0.0003744,0.0004,0.0003475
1427.3,0.000377,0.0004,0.0003475
1430,0.0003796,0.0004,0.0003475
1432.6,0.0003822,0.0004,0.0003475
1435.1,0.0003848,0.0004,0.0003475
1437.6,0.0003874,0.0004,0.0003475
1440,0.00039,0.0004,0.0003475
1442.5,0.0003926,0.0004,0.0003475
1444.8,0.0003952,0.0004,0.0003475
1447.1,0.0003978,0.0004,0.0003475
1449.3,0.0004004,0.0004,0.0003475
1451.6,0.000403,0.0004,0.0003475
1453.7,0.0004056,0.0004,0.0003475
1455.9,0.0004082,0.0004,0.0003475
1458,0.0004108,0.0004,0.0003475
1460.1,0.0004134,0.0004,0.0003475
1462.1,0.000416,0.0004,0.0003475
1464.1,0.0004186,0.0004,0.0003475
1466.1,0.0004212,0.0004,0.0003475
1468,0.0004238,0.0004,0.0003475
1469.9,0.0004264,0.0004,0.0003475
1471.8,0.000429,0.0004,0.0003475
1473.7,0.0004316,0.0004,0.0003475
1475.5,0.0004342,0.0004,0.0003475
1477.3,0.0004368,0.0004,0.0003475
1479.1,0.0004394,0.0004,0.0003475
1480.8,0.000442,0.0004,0.0003475
1482.6,0.0004446,0.0004,0.0003475
1484.3,0.0004472,0.0004,0.0003475
1486,0.0004498,0.0004,0.0003475
1487.7,0.0004524,0.0004,0.0003475
1489.4,0.000455,0.0004,0.0003475
1491,0.0004576,0.0004,0.0003475
1492.7,0.0004602,0.0004,0.0003475
1494.3,0.0004628,0.0004,0.0003475
1495.9,0.0004654,0.0004,0.0003475
1497.5,0.000468,0.0004,0.0003475
1499.1,0.0004706,0.0004,0.0003475
1500.7,0.0004732,0.0004,0.0003475
1502.2,0.0004758,0.0004,0.0003475
1503.8,0.0004784,0.0004,0.0003475
1505.3,0.000481,0.0004,0.0003475
1506.9,0.0004836,0.0004,0.0003475
1508.4,0.0004862,0.0004,0.0003475
1509.9,0.0004888,0.0004,0.0003475
1511.4,0.0004914,0.0004,0.0003475
1512.9,0.000494,0.0004,0.0003475
1514.4,0.0004966,0.0004,0.0003475
1515.9,0.0004992,0.0004,0.0003475
1517.3,0.0005018,0.0004,0.0003475
1518.8,0.0005044,0.0004,0.0003475
1520.2,0.000507,0.0004,0.0003475
1521.7,0.0005096,0.0004,0.0003475
1523.1,0.0005122,0.0004,0.0003475
1524.5,0.0005148,0.0004,0.0003475
1526,0.0005174,0.0004,0.0003475
1527.4,0.00052,0.0004,0.0003475
1528.8,0.0005226,0.0004,0.0003475
1530.2,0.0005252,0.0004,0.0003475
1531.6,0.0005278,0.0004,0.0003475
1532.9,0.0005304,0.0004,0.0003475
1534.3,0.000533,0.0004,0.0003475
1535.7,0.0005356,0.0004,0.0003475
1537.1,0.0005382,0.0004,0.0003475
1538.4,0.0005408,0.0004,0.0003475
1539.8,0.0005434,0.0004,0.0003475
1541.1,0.000546,0.0004,0.0003475
