"temp","mpPhase","mpLiqPhase","vtkGhostType","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
486.6,0,0,0,1,0,0,0.0004,0.000345
486.6,0,0,0,1,2.6e-06,2.6e-06,0.0004,0.000345
486.68,0,0,0,1,5.2e-06,5.2e-06,0.0004,0.000345
487.73,0,0,0,1,7.8e-06,7.8e-06,0.0004,0.000345
488.79,0,0,0,1,1.04e-05,1.04e-05,0.0004,0.000345
489.84,0,0,0,1,1.3e-05,1.3e-05,0.0004,0.000345
491.13,0,0,0,1,1.56e-05,1.56e-05,0.0004,0.000345
493.22,0,0,0,1,1.82e-05,1.82e-05,0.0004,0.000345
495.31,0,0,0,1,2.08e-05,2.08e-05,0.0004,0.000345
497.4,0,0,0,1,2.34e-05,2.34e-05,0.0004,0.000345
499.89,0,0,0,1,2.6e-05,2.6e-05,0.0004,0.000345
503.01,0,0,0,1,2.86e-05,2.86e-05,0.0004,0.000345
506.13,0,0,0,1,3.12e-05,3.12e-05,0.0004,0.000345
509.24,0,0,0,1,3.38e-05,3.38e-05,0.0004,0.000345
512.9,0,0,0,1,3.64e-05,3.64e-05,0.0004,0.000345
517.03,0,0,0,1,3.9e-05,3.9e-05,0.0004,0.000345
521.15,0,0,0,1,4.16e-05,4.16e-05,0.0004,0.000345
525.27,0,0,0,1,4.42e-05,4.42e-05,0.0004,0.000345
530.07,0,0,0,1,4.68e-05,4.68e-05,0.0004,0.000345
535.17,0,0,0,1,4.94e-05,4.94e-05,0.0004,0.000345
540.28,0,0,0,1,5.2e-05,5.2e-05,0.0004,0.000345
545.38,0,0,0,1,5.46e-05,5.46e-05,0.0004,0.000345
551.28,0,0,0,1,5.72e-05,5.72e-05,0.0004,0.000345
557.32,0,0,0,1,5.98e-05,5.98e-05,0.0004,0.000345
563.36,0,0,0,1,6.24e-05,6.24e-05,0.0004,0.000345
569.4,0,0,0,1,6.5e-05,6.5e-05,0.0004,0.000345
576.34,0,0,0,1,6.76e-05,6.76e-05,0.0004,0.000345
583.28,0,0,0,1,7.02e-05,7.02e-05,0.0004,0.000345
590.21,0,0,0,1,7.28e-05,7.28e-05,0.0004,0.000345
597.28,0,0,0,1,7.54e-05,7.54e-05,0.0004,0.000345
605.05,0,0,0,1,7.8e-05,7.8e-05,0.0004,0.000345
612.83,0,0,0,1,8.06e-05,8.06e-05,0.0004,0.000345
620.6,0,0,0,1,8.32e-05,8.32e-05,0.0004,0.000345
628.61,0,0,0,1,8.58e-05,8.58e-05,0.0004,0.000345
637.15,0,0,0,1,8.84e-05,8.84e-05,0.0004,0.000345
645.69,0,0,0,1,9.1e-05,9.1e-05,0.0004,0.000345
654.23,0,0,0,1,9.36e-05,9.36e-05,0.0004,0.000345
663.09,0,0,0,1,9.62e-05,9.62e-05,0.0004,0.000345
672.32,0,0,0,1,9.88e-05,9.88e-05,0.0004,0.000345
681.55,0,0,0,1,0.0001014,0.0001014,0.0004,0.000345
690.78,0,0,0,1,0.000104,0.000104,0.0004,0.000345
700.38,0,0,0,1,0.0001066,0.0001066,0.0004,0.000345
710.21,0,0,0,1,0.0001092,0.0001092,0.0004,0.000345
720.04,0,0,0,1,0.0001118,0.0001118,0.0004,0.000345
