"temp","mpPhase","mpLiqPhase","vtkGhostType","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
507.56,0,0,0,1,0,0,0.0004,0.000345
507.56,0,0,0,1,2.6e-06,2.6e-06,0.0004,0.000345
507.62,0,0,0,1,5.2e-06,5.2e-06,0.0004,0.000345
508.31,0,0,0,1,7.8e-06,7.8e-06,0.0004,0.000345
509,0,0,0,1,1.04e-05,1.04e-05,0.0004,0.000345
509.69,0,0,0,1,1.3e-05,1.3e-05,0.0004,0.000345
510.53,0,0,0,1,1.56e-05,1.56e-05,0.0004,0.000345
511.89,0,0,0,1,1.82e-05,1.82e-05,0.0004,0.000345
513.25,0,0,0,1,2.08e-05,2.08e-05,0.0004,0.000345
514.61,0,0,0,1,2.34e-05,2.34e-05,0.0004,0.000345
516.21,0,0,0,1,2.6e-05,2.6e-05,0.0004,0.000345
518.19,0,0,0,1,2.86e-05,2.86e-05,0.0004,0.000345
520.18,0,0,0,1,3.12e-05,3.12e-05,0.0004,0.000345
522.16,0,0,0,1,3.38e-05,3.38e-05,0.0004,0.000345
524.43,0,0,0,1,3.64e-05,3.64e-05,0.0004,0.000345
526.96,0,0,0,1,3.9e-05,3.9e-05,0.0004,0.000345
529.48,0,0,0,1,4.16e-05,4.16e-05,0.0004,0.000345
532.01,0,0,0,1,4.42e-05,4.42e-05,0.0004,0.000345
534.92,0,0,0,1,4.68e-05,4.68e-05,0.0004,0.000345
538.01,0,0,0,1,4.94e-05,4.94e-05,0.0004,0.000345
541.11,0,0,0,1,5.2e-05,5.2e-05,0.0004,0.000345
544.2,0,0,0,1,5.46e-05,5.46e-05,0.0004,0.000345
548.25,0,0,0,1,5.72e-05,5.72e-05,0.0004,0.000345
552.47,0,0,0,1,5.98e-05,5.98e-05,0.0004,0.000345
556.7,0,0,0,1,6.24e-05,6.24e-05,0.0004,0.000345
560.92,0,0,0,1,6.5e-05,6.5e-05,0.0004,0.000345
565.65,0,0,0,1,6.76e-05,6.76e-05,0.0004,0.000345
570.38,0,0,0,1,7.02e-05,7.02e-05,0.0004,0.000345
575.12,0,0,0,1,7.28e-05,7.28e-05,0.0004,0.000345
579.91,0,0,0,1,7.54e-05,7.54e-05,0.0004,0.000345
585.06,0,0,0,1,7.8e-05,7.8e-05,0.0004,0.000345
590.2,0,0,0,1,8.06e-05,8.06e-05,0.0004,0.000345
595.35,0,0,0,1,8.32e-05,8.32e-05,0.0004,0.000345
600.63,0,0,0,1,8.58e-05,8.58e-05,0.0004,0.000345
606.21,0,0,0,1,8.84e-05,8.84e-05,0.0004,0.000345
611.79,0,0,0,1,9.1e-05,9.1e-05,0.0004,0.000345
617.37,0,0,0,1,9.36e-05,9.36e-05,0.0004,0.000345
623.14,0,0,0,1,9.62e-05,9.62e-05,0.0004,0.000345
629.14,0,0,0,1,9.88e-05,9.88e-05,0.0004,0.000345
635.13,0,0,0,1,0.0001014,0.0001014,0.0004,0.000345
641.13,0,0,0,1,0.000104,0.000104,0.0004,0.000345
647.36,0,0,0,1,0.0001066,0.0001066,0.0004,0.000345
653.72,0,0,0,1,0.0001092,0.0001092,0.0004,0.000345
660.09,0,0,0,1,0.0001118,0.0001118,0.0004,0.000345
666.46,0,0,0,1,0.0001144,0.0001144,0.0004,0.000345
673.07,0,0,0,1,0.000117,0.000117,0.0004,0.000345
679.76,0,0,0,1,0.0001196,0.0001196,0.0004,0.000345
686.44,0,0,0,1,0.0001222,0.0001222,0.0004,0.000345
693.13,0,0,0,1,0.0001248,0.0001248,0.0004,0.000345
700.05,0,0,0,1,0.0001274,0.0001274,0.0004,0.000345
706.98,0,0,0,1,0.00013,0.00013,0.0004,0.000345
713.92,0,0,0,1,0.0001326,0.0001326,0.0004,0.000345
720.88,0.02,0.02,0,1,0.0001352,0.0001352,0.0004,0.000345
728.01,0.28,0.28,0,1,0.0001378,0.0001378,0.0004,0.000345
735.14,0.54,0.54,0,1,0.0001404,0.0001404,0.0004,0.000345
742.27,0.8,0.8,0,1,0.000143,0.000143,0.0004,0.000345
749.43,1,1,0,1,0.0001456,0.0001456,0.0004,0.000345
756.69,1,1,0,1,0.0001482,0.0001482,0.0004,0.000345
763.95,1,1,0,1,0.0001508,0.0001508,0.0004,0.000345
771.21,1,1,0,1,0.0001534,0.0001534,0.0004,0.000345
778.5,1,1,0,1,0.000156,0.000156,0.0004,0.000345
785.83,1,1,0,1,0.0001586,0.0001586,0.0004,0.000345
793.16,1,1,0,1,0.0001612,0.0001612,0.0004,0.000345
800.49,1,1,0,1,0.0001638,0.0001638,0.0004,0.000345
807.82,1,1,0,1,0.0001664,0.0001664,0.0004,0.000345
815.16,1,1,0,1,0.000169,0.000169,0.0004,0.000345
822.5,1,1,0,1,0.0001716,0.0001716,0.0004,0.000345
829.84,1,1,0,1,0.0001742,0.0001742,0.0004,0.000345
837.15,1,1,0,1,0.0001768,0.0001768,0.0004,0.000345
844.44,1,1,0,1,0.0001794,0.0001794,0.0004,0.000345
851.73,1,1,0,1,0.000182,0.000182,0.0004,0.000345
859.03,1,1,0,1,0.0001846,0.0001846,0.0004,0.000345
866.24,1,1,0,1,0.0001872,0.0001872,0.0004,0.000345
873.43,1,1,0,1,0.0001898,0.0001898,0.0004,0.000345
880.62,1,1,0,1,0.0001924,0.0001924,0.0004,0.000345
887.82,1,1,0,1,0.000195,0.000195,0.0004,0.000345
894.86,1,1,0,1,0.0001976,0.0001976,0.0004,0.000345
901.91,1,1,0,1,0.0002002,0.0002002,0.0004,0.000345
908.96,1,1,0,1,0.0002028,0.0002028,0.0004,0.000345
915.98,1,1,0,1,0.0002054,0.0002054,0.0004,0.000345
922.83,1,1,0,1,0.000208,0.000208,0.0004,0.000345
929.69,1,1,0,1,0.0002106,0.0002106,0.0004,0.000345
936.55,1,1,0,1,0.0002132,0.0002132,0.0004,0.000345
943.34,1,1,0,1,0.0002158,0.0002158,0.0004,0.000345
949.96,1,1,0,1,0.0002184,0.0002184,0.0004,0.000345
956.59,1,1,0,1,0.000221,0.000221,0.0004,0.000345
963.22,1,1,0,1,0.0002236,0.0002236,0.0004,0.000345
969.73,1,1,0,1,0.0002262,0.0002262,0.0004,0.000345
976.1,1,1,0,1,0.0002288,0.0002288,0.0004,0.000345
982.47,1,1,0,1,0.0002314,0.0002314,0.0004,0.000345
988.84,1,1,0,1,0.000234,0.000234,0.0004,0.000345
995.03,1,1,0,1,0.0002366,0.0002366,0.0004,0.000345
1001.1,1,1,0,1,0.0002392,0.0002392,0.0004,0.000345
1007.2,1,1,0,1,0.0002418,0.0002418,0.0004,0.000345
1013.3,1,1,0,1,0.0002444,0.0002444,0.0004,0.000345
1019.1,1,1,0,1,0.000247,0.000247,0.0004,0.000345
1024.9,1,1,0,1,0.0002496,0.0002496,0.0004,0.000345
1030.7,1,1,0,1,0.0002522,0.0002522,0.0004,0.000345
1036.5,1,1,0,1,0.0002548,0.0002548,0.0004,0.000345
1041.9,1,1,0,1,0.0002574,0.0002574,0.0004,0.000345
1047.4,1,1,0,1,0.00026,0.00026,0.0004,0.000345
1052.9,1,1,0,1,0.0002626,0.0002626,0.0004,0.000345
1058.3,1,1,0,1,0.0002652,0.0002652,0.0004,0.000345
1063.4,1,1,0,1,0.0002678,0.0002678,0.0004,0.000345
1068.6,1,1,0,1,0.0002704,0.0002704,0.0004,0.000345
1073.7,1,1,0,1,0.000273,0.000273,0.0004,0.000345
1078.8,1,1,0,1,0.0002756,0.0002756,0.0004,0.000345
1083.6,1,1,0,1,0.0002782,0.0002782,0.0004,0.000345
1088.4,1,1,0,1,0.0002808,0.0002808,0.0004,0.000345
1093.2,1,1,0,1,0.0002834,0.0002834,0.0004,0.000345
1097.9,1,1,0,1,0.000286,0.000286,0.0004,0.000345
1102.3,1,1,0,1,0.0002886,0.0002886,0.0004,0.000345
1106.8,1,1,0,1,0.0002912,0.0002912,0.0004,0.000345
1111.3,1,1,0,1,0.0002938,0.0002938,0.0004,0.000345
1115.6,1,1,0,1,0.0002964,0.0002964,0.0004,0.000345
1119.8,1,1,0,1,0.000299,0.000299,0.0004,0.000345
1123.9,1,1,0,1,0.0003016,0.0003016,0.0004,0.000345
1128.1,1,1,0,1,0.0003042,0.0003042,0.0004,0.000345
1132.1,1,1,0,1,0.0003068,0.0003068,0.0004,0.000345
1135.9,1,1,0,1,0.0003094,0.0003094,0.0004,0.000345
1139.8,1,1,0,1,0.000312,0.000312,0.0004,0.000345
1143.6,1,1,0,1,0.0003146,0.0003146,0.0004,0.000345
1147.3,1,1,0,1,0.0003172,0.0003172,0.0004,0.000345
1150.8,1,1,0,1,0.0003198,0.0003198,0.0004,0.000345
1154.4,1,1,0,1,0.0003224,0.0003224,0.0004,0.000345
1158,1,1,0,1,0.000325,0.000325,0.0004,0.000345
1161.3,1,1,0,1,0.0003276,0.0003276,0.0004,0.000345
1164.5,1,1,0,1,0.0003302,0.0003302,0.0004,0.000345
1167.8,1,1,0,1,0.0003328,0.0003328,0.0004,0.000345
1171.1,1,1,0,1,0.0003354,0.0003354,0.0004,0.000345
1174.1,1,1,0,1,0.000338,0.000338,0.0004,0.000345
1177.1,1,1,0,1,0.0003406,0.0003406,0.0004,0.000345
1180.2,1,1,0,1,0.0003432,0.0003432,0.0004,0.000345
1183.1,1,1,0,1,0.0003458,0.0003458,0.0004,0.000345
1185.9,1,1,0,1,0.0003484,0.0003484,0.0004,0.000345
1188.7,1,1,0,1,0.000351,0.000351,0.0004,0.000345
1191.5,1,1,0,1,0.0003536,0.0003536,0.0004,0.000345
1194.2,1,1,0,1,0.0003562,0.0003562,0.0004,0.000345
1196.7,1,1,0,1,0.0003588,0.0003588,0.0004,0.000345
1199.3,1,1,0,1,0.0003614,0.0003614,0.0004,0.000345
1201.9,1,1,0,1,0.000364,0.000364,0.0004,0.000345
1204.3,1,1,0,1,0.0003666,0.0003666,0.0004,0.000345
1206.7,1,1,0,1,0.0003692,0.0003692,0.0004,0.000345
1209.1,1,1,0,1,0.0003718,0.0003718,0.0004,0.000345
1211.4,1,1,0,1,0.0003744,0.0003744,0.0004,0.000345
1213.7,1,1,0,1,0.000377,0.000377,0.0004,0.000345
1215.8,1,1,0,1,0.0003796,0.0003796,0.0004,0.000345
1218,1,1,0,1,0.0003822,0.0003822,0.0004,0.000345
1220.2,1,1,0,1,0.0003848,0.0003848,0.0004,0.000345
1222.3,1,1,0,1,0.0003874,0.0003874,0.0004,0.000345
1224.3,1,1,0,1,0.00039,0.00039,0.0004,0.000345
1226.3,1,1,0,1,0.0003926,0.0003926,0.0004,0.000345
1228.3,1,1,0,1,0.0003952,0.0003952,0.0004,0.000345
1230.2,1,1,0,1,0.0003978,0.0003978,0.0004,0.000345
1232.1,1,1,0,1,0.0004004,0.0004004,0.0004,0.000345
1234,1,1,0,1,0.000403,0.000403,0.0004,0.000345
1235.9,1,1,0,1,0.0004056,0.0004056,0.0004,0.000345
1237.7,1,1,0,1,0.0004082,0.0004082,0.0004,0.000345
1239.4,1,1,0,1,0.0004108,0.0004108,0.0004,0.000345
1241.2,1,1,0,1,0.0004134,0.0004134,0.0004,0.000345
1242.9,1,1,0,1,0.000416,0.000416,0.0004,0.000345
1244.6,1,1,0,1,0.0004186,0.0004186,0.0004,0.000345
1246.3,1,1,0,1,0.0004212,0.0004212,0.0004,0.000345
1247.9,1,1,0,1,0.0004238,0.0004238,0.0004,0.000345
1249.6,1,1,0,1,0.0004264,0.0004264,0.0004,0.000345
1251.1,1,1,0,1,0.000429,0.000429,0.0004,0.000345
1252.7,1,1,0,1,0.0004316,0.0004316,0.0004,0.000345
1254.3,1,1,0,1,0.0004342,0.0004342,0.0004,0.000345
1255.8,1,1,0,1,0.0004368,0.0004368,0.0004,0.000345
1257.3,1,1,0,1,0.0004394,0.0004394,0.0004,0.000345
1258.8,1,1,0,1,0.000442,0.000442,0.0004,0.000345
1260.3,1,1,0,1,0.0004446,0.0004446,0.0004,0.000345
1261.8,1,1,0,1,0.0004472,0.0004472,0.0004,0.000345
1263.2,1,1,0,1,0.0004498,0.0004498,0.0004,0.000345
1264.7,1,1,0,1,0.0004524,0.0004524,0.0004,0.000345
1266.1,1,1,0,1,0.000455,0.000455,0.0004,0.000345
1267.5,1,1,0,1,0.0004576,0.0004576,0.0004,0.000345
1268.9,1,1,0,1,0.0004602,0.0004602,0.0004,0.000345
1270.3,1,1,0,1,0.0004628,0.0004628,0.0004,0.000345
1271.6,1,1,0,1,0.0004654,0.0004654,0.0004,0.000345
1273,1,1,0,1,0.000468,0.000468,0.0004,0.000345
1274.3,1,1,0,1,0.0004706,0.0004706,0.0004,0.000345
1275.7,1,1,0,1,0.0004732,0.0004732,0.0004,0.000345
1277,1,1,0,1,0.0004758,0.0004758,0.0004,0.000345
1278.3,1,1,0,1,0.0004784,0.0004784,0.0004,0.000345
1279.6,1,1,0,1,0.000481,0.000481,0.0004,0.000345
1280.9,1,1,0,1,0.0004836,0.0004836,0.0004,0.000345
1282.2,1,1,0,1,0.0004862,0.0004862,0.0004,0.000345
1283.5,1,1,0,1,0.0004888,0.0004888,0.0004,0.000345
1284.8,1,1,0,1,0.0004914,0.0004914,0.0004,0.000345
1286.1,1,1,0,1,0.000494,0.000494,0.0004,0.000345
1287.4,1,1,0,1,0.0004966,0.0004966,0.0004,0.000345
1288.7,1,1,0,1,0.0004992,0.0004992,0.0004,0.000345
1289.9,1,1,0,1,0.0005018,0.0005018,0.0004,0.000345
1291.2,1,1,0,1,0.0005044,0.0005044,0.0004,0.000345
