"temp","Points:0","Points:1","Points:2"
478.9,0,0.0004,0.0003475
478.91,2.6e-06,0.0004,0.0003475
479.18,5.2e-06,0.0004,0.0003475
479.48,7.8e-06,0.0004,0.0003475
480.01,1.04e-05,0.0004,0.0003475
480.6,1.3e-05,0.0004,0.0003475
481.4,1.56e-05,0.0004,0.0003475
482.27,1.82e-05,0.0004,0.0003475
483.33,2.08e-05,0.0004,0.0003475
484.48,2.34e-05,0.0004,0.0003475
485.81,2.6e-05,0.0004,0.0003475
487.24,2.86e-05,0.0004,0.0003475
488.82,3.12e-05,0.0004,0.0003475
490.53,3.38e-05,0.0004,0.0003475
492.37,3.64e-05,0.0004,0.0003475
494.35,3.9e-05,0.0004,0.0003475
496.44,4.16e-05,0.0004,0.0003475
498.69,4.42e-05,0.0004,0.0003475
501.03,4.68e-05,0.0004,0.0003475
503.54,4.94e-05,0.0004,0.0003475
506.12,5.2e-05,0.0004,0.0003475
508.88,5.46e-05,0.0004,0.0003475
511.7,5.72e-05,0.0004,0.0003475
514.71,5.98e-05,0.0004,0.0003475
517.76,6.24e-05,0.0004,0.0003475
521.01,6.5e-05,0.0004,0.0003475
524.29,6.76e-05,0.0004,0.0003475
527.77,7.02e-05,0.0004,0.0003475
531.28,7.28e-05,0.0004,0.0003475
534.97,7.54e-05,0.0004,0.0003475
538.7,7.8e-05,0.0004,0.0003475
542.59,8.06e-05,0.0004,0.0003475
546.54,8.32e-05,0.0004,0.0003475
550.62,8.58e-05,0.0004,0.0003475
554.77,8.84e-05,0.0004,0.0003475
559.04,9.1e-05,0.0004,0.0003475
563.38,9.36e-05,0.0004,0.0003475
567.83,9.62e-05,0.0004,0.0003475
572.35,9.88e-05,0.0004,0.0003475
576.96,0.0001014,0.0004,0.0003475
581.66,0.000104,0.0004,0.0003475
586.42,0.0001066,0.0004,0.0003475
591.28,0.0001092,0.0004,0.0003475
596.18,0.0001118,0.0004,0.0003475
601.19,0.0001144,0.0004,0.0003475
606.23,0.000117,0.0004,0.0003475
611.37,0.0001196,0.0004,0.0003475
616.53,0.0001222,0.0004,0.0003475
621.79,0.0001248,0.0004,0.0003475
627.07,0.0001274,0.0004,0.0003475
632.44,0.00013,0.0004,0.0003475
637.81,0.0001326,0.0004,0.0003475
643.28,0.0001352,0.0004,0.0003475
648.75,0.0001378,0.0004,0.0003475
654.29,0.0001404,0.0004,0.0003475
659.84,0.000143,0.0004,0.0003475
665.45,0.0001456,0.0004,0.0003475
671.07,0.0001482,0.0004,0.0003475
676.73,0.0001508,0.0004,0.0003475
682.41,0.0001534,0.0004,0.0003475
688.11,0.000156,0.0004,0.0003475
