"temp","mpPhase","mpLiqPhase","vtkGhostType","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
505.86,0,0,0,1,0,0,0.0004,0.000345
505.87,0,0,0,1,2.6e-06,2.6e-06,0.0004,0.000345
505.95,0,0,0,1,5.2e-06,5.2e-06,0.0004,0.000345
506.98,0,0,0,1,7.8e-06,7.8e-06,0.0004,0.000345
508.01,0,0,0,1,1.04e-05,1.04e-05,0.0004,0.000345
509.03,0,0,0,1,1.3e-05,1.3e-05,0.0004,0.000345
510.3,0,0,0,1,1.56e-05,1.56e-05,0.0004,0.000345
512.34,0,0,0,1,1.82e-05,1.82e-05,0.0004,0.000345
514.38,0,0,0,1,2.08e-05,2.08e-05,0.0004,0.000345
516.42,0,0,0,1,2.34e-05,2.34e-05,0.0004,0.000345
518.84,0,0,0,1,2.6e-05,2.6e-05,0.0004,0.000345
521.88,0,0,0,1,2.86e-05,2.86e-05,0.0004,0.000345
524.92,0,0,0,1,3.12e-05,3.12e-05,0.0004,0.000345
527.96,0,0,0,1,3.38e-05,3.38e-05,0.0004,0.000345
531.52,0,0,0,1,3.64e-05,3.64e-05,0.0004,0.000345
535.52,0,0,0,1,3.9e-05,3.9e-05,0.0004,0.000345
539.53,0,0,0,1,4.16e-05,4.16e-05,0.0004,0.000345
543.54,0,0,0,1,4.42e-05,4.42e-05,0.0004,0.000345
548.2,0,0,0,1,4.68e-05,4.68e-05,0.0004,0.000345
553.15,0,0,0,1,4.94e-05,4.94e-05,0.0004,0.000345
558.09,0,0,0,1,5.2e-05,5.2e-05,0.0004,0.000345
563.04,0,0,0,1,5.46e-05,5.46e-05,0.0004,0.000345
568.75,0,0,0,1,5.72e-05,5.72e-05,0.0004,0.000345
574.59,0,0,0,1,5.98e-05,5.98e-05,0.0004,0.000345
580.44,0,0,0,1,6.24e-05,6.24e-05,0.0004,0.000345
586.28,0,0,0,1,6.5e-05,6.5e-05,0.0004,0.000345
592.97,0,0,0,1,6.76e-05,6.76e-05,0.0004,0.000345
599.67,0,0,0,1,7.02e-05,7.02e-05,0.0004,0.000345
606.36,0,0,0,1,7.28e-05,7.28e-05,0.0004,0.000345
613.17,0,0,0,1,7.54e-05,7.54e-05,0.0004,0.000345
620.65,0,0,0,1,7.8e-05,7.8e-05,0.0004,0.000345
628.13,0,0,0,1,8.06e-05,8.06e-05,0.0004,0.000345
635.61,0,0,0,1,8.32e-05,8.32e-05,0.0004,0.000345
643.31,0,0,0,1,8.58e-05,8.58e-05,0.0004,0.000345
651.51,0,0,0,1,8.84e-05,8.84e-05,0.0004,0.000345
659.71,0,0,0,1,9.1e-05,9.1e-05,0.0004,0.000345
667.91,0,0,0,1,9.36e-05,9.36e-05,0.0004,0.000345
676.4,0,0,0,1,9.62e-05,9.62e-05,0.0004,0.000345
685.23,0,0,0,1,9.88e-05,9.88e-05,0.0004,0.000345
694.07,0,0,0,1,0.0001014,0.0001014,0.0004,0.000345
702.91,0,0,0,1,0.000104,0.000104,0.0004,0.000345
712.08,0,0,0,1,0.0001066,0.0001066,0.0004,0.000345
721.47,0,0,0,1,0.0001092,0.0001092,0.0004,0.000345
730.85,0,0,0,1,0.0001118,0.0001118,0.0004,0.000345
740.24,0,0,0,1,0.0001144,0.0001144,0.0004,0.000345
749.98,0,0,0,1,0.000117,0.000117,0.0004,0.000345
759.82,0,0,0,1,0.0001196,0.0001196,0.0004,0.000345
769.66,0,0,0,1,0.0001222,0.0001222,0.0004,0.000345
779.5,0,0,0,1,0.0001248,0.0001248,0.0004,0.000345
789.67,0,0,0,1,0.0001274,0.0001274,0.0004,0.000345
799.87,0,0,0,1,0.00013,0.00013,0.0004,0.000345
810.07,0,0,0,1,0.0001326,0.0001326,0.0004,0.000345
820.28,0.02,0.02,0,1,0.0001352,0.0001352,0.0004,0.000345
830.73,0.28,0.28,0,1,0.0001378,0.0001378,0.0004,0.000345
841.18,0.54,0.54,0,1,0.0001404,0.0001404,0.0004,0.000345
851.63,0.8,0.8,0,1,0.000143,0.000143,0.0004,0.000345
862.11,1,1,0,1,0.0001456,0.0001456,0.0004,0.000345
872.7,1,1,0,1,0.0001482,0.0001482,0.0004,0.000345
883.29,1,1,0,1,0.0001508,0.0001508,0.0004,0.000345
893.88,1,1,0,1,0.0001534,0.0001534,0.0004,0.000345
904.49,1,1,0,1,0.000156,0.000156,0.0004,0.000345
915.12,1,1,0,1,0.0001586,0.0001586,0.0004,0.000345
925.75,1,1,0,1,0.0001612,0.0001612,0.0004,0.000345
936.38,1,1,0,1,0.0001638,0.0001638,0.0004,0.000345
946.98,1,1,0,1,0.0001664,0.0001664,0.0004,0.000345
957.54,1,1,0,1,0.000169,0.000169,0.0004,0.000345
968.11,1,1,0,1,0.0001716,0.0001716,0.0004,0.000345
978.67,1,1,0,1,0.0001742,0.0001742,0.0004,0.000345
989.13,1,1,0,1,0.0001768,0.0001768,0.0004,0.000345
999.53,1,1,0,1,0.0001794,0.0001794,0.0004,0.000345
1009.9,1,1,0,1,0.000182,0.000182,0.0004,0.000345
1020.3,1,1,0,1,0.0001846,0.0001846,0.0004,0.000345
1030.5,1,1,0,1,0.0001872,0.0001872,0.0004,0.000345
1040.7,1,1,0,1,0.0001898,0.0001898,0.0004,0.000345
1050.8,1,1,0,1,0.0001924,0.0001924,0.0004,0.000345
1061,1,1,0,1,0.000195,0.000195,0.0004,0.000345
1070.8,1,1,0,1,0.0001976,0.0001976,0.0004,0.000345
1080.6,1,1,0,1,0.0002002,0.0002002,0.0004,0.000345
1090.4,1,1,0,1,0.0002028,0.0002028,0.0004,0.000345
1100.2,1,1,0,1,0.0002054,0.0002054,0.0004,0.000345
1109.6,1,1,0,1,0.000208,0.000208,0.0004,0.000345
1119,1,1,0,1,0.0002106,0.0002106,0.0004,0.000345
1128.4,1,1,0,1,0.0002132,0.0002132,0.0004,0.000345
1137.6,1,1,0,1,0.0002158,0.0002158,0.0004,0.000345
1146.6,1,1,0,1,0.0002184,0.0002184,0.0004,0.000345
1155.5,1,1,0,1,0.000221,0.000221,0.0004,0.000345
1164.5,1,1,0,1,0.0002236,0.0002236,0.0004,0.000345
1173.2,1,1,0,1,0.0002262,0.0002262,0.0004,0.000345
1181.6,1,1,0,1,0.0002288,0.0002288,0.0004,0.000345
1190,1,1,0,1,0.0002314,0.0002314,0.0004,0.000345
