"temp","mpPhase","mpLiqPhase","vtkGhostType","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
447.96,0,0,0,1,0,0,0.0004,0.000345
447.96,0,0,0,1,2.6e-06,2.6e-06,0.0004,0.000345
448.08,0,0,0,1,5.2e-06,5.2e-06,0.0004,0.000345
449.62,0,0,0,1,7.8e-06,7.8e-06,0.0004,0.000345
451.15,0,0,0,1,1.04e-05,1.04e-05,0.0004,0.000345
452.69,0,0,0,1,1.3e-05,1.3e-05,0.0004,0.000345
454.59,0,0,0,1,1.56e-05,1.56e-05,0.0004,0.000345
457.67,0,0,0,1,1.82e-05,1.82e-05,0.0004,0.000345
460.75,0,0,0,1,2.08e-05,2.08e-05,0.0004,0.000345
463.83,0,0,0,1,2.34e-05,2.34e-05,0.0004,0.000345
467.51,0,0,0,1,2.6e-05,2.6e-05,0.0004,0.000345
472.15,0,0,0,1,2.86e-05,2.86e-05,0.0004,0.000345
476.79,0,0,0,1,3.12e-05,3.12e-05,0.0004,0.000345
481.43,0,0,0,1,3.38e-05,3.38e-05,0.0004,0.000345
486.93,0,0,0,1,3.64e-05,3.64e-05,0.0004,0.000345
493.16,0,0,0,1,3.9e-05,3.9e-05,0.0004,0.000345
499.39,0,0,0,1,4.16e-05,4.16e-05,0.0004,0.000345
505.62,0,0,0,1,4.42e-05,4.42e-05,0.0004,0.000345
512.97,0,0,0,1,4.68e-05,4.68e-05,0.0004,0.000345
520.81,0,0,0,1,4.94e-05,4.94e-05,0.0004,0.000345
528.66,0,0,0,1,5.2e-05,5.2e-05,0.0004,0.000345
536.5,0,0,0,1,5.46e-05,5.46e-05,0.0004,0.000345
545.72,0,0,0,1,5.72e-05,5.72e-05,0.0004,0.000345
555.2,0,0,0,1,5.98e-05,5.98e-05,0.0004,0.000345
564.67,0,0,0,1,6.24e-05,6.24e-05,0.0004,0.000345
574.14,0,0,0,1,6.5e-05,6.5e-05,0.0004,0.000345
585.24,0,0,0,1,6.76e-05,6.76e-05,0.0004,0.000345
596.33,0,0,0,1,7.02e-05,7.02e-05,0.0004,0.000345
607.43,0,0,0,1,7.28e-05,7.28e-05,0.0004,0.000345
618.77,0,0,0,1,7.54e-05,7.54e-05,0.0004,0.000345
631.45,0,0,0,1,7.8e-05,7.8e-05,0.0004,0.000345
644.14,0,0,0,1,8.06e-05,8.06e-05,0.0004,0.000345
656.82,0,0,0,1,8.32e-05,8.32e-05,0.0004,0.000345
669.97,0,0,0,1,8.58e-05,8.58e-05,0.0004,0.000345
684.16,0,0,0,1,8.84e-05,8.84e-05,0.0004,0.000345
698.35,0,0,0,1,9.1e-05,9.1e-05,0.0004,0.000345
712.55,0,0,0,1,9.36e-05,9.36e-05,0.0004,0.000345
727.38,0,0,0,1,9.62e-05,9.62e-05,0.0004,0.000345
742.97,0,0,0,1,9.88e-05,9.88e-05,0.0004,0.000345
758.55,0,0,0,1,0.0001014,0.0001014,0.0004,0.000345
774.13,0,0,0,1,0.000104,0.000104,0.0004,0.000345
790.47,0,0,0,1,0.0001066,0.0001066,0.0004,0.000345
807.27,0,0,0,1,0.0001092,0.0001092,0.0004,0.000345
824.07,0,0,0,1,0.0001118,0.0001118,0.0004,0.000345
840.87,0,0,0,1,0.0001144,0.0001144,0.0004,0.000345
858.44,0,0,0,1,0.000117,0.000117,0.0004,0.000345
876.24,0,0,0,1,0.0001196,0.0001196,0.0004,0.000345
894.04,0,0,0,1,0.0001222,0.0001222,0.0004,0.000345
911.85,0,0,0,1,0.0001248,0.0001248,0.0004,0.000345
930.33,0,0,0,1,0.0001274,0.0001274,0.0004,0.000345
948.86,0,0,0,1,0.00013,0.00013,0.0004,0.000345
967.4,0,0,0,1,0.0001326,0.0001326,0.0004,0.000345
985.97,0.02,0.02,0,1,0.0001352,0.0001352,0.0004,0.000345
1004.9,0.28,0.28,0,1,0.0001378,0.0001378,0.0004,0.000345
1023.9,0.54,0.54,0,1,0.0001404,0.0001404,0.0004,0.000345
1042.9,0.8,0.8,0,1,0.000143,0.000143,0.0004,0.000345
1061.9,1,1,0,1,0.0001456,0.0001456,0.0004,0.000345
1081,1,1,0,1,0.0001482,0.0001482,0.0004,0.000345
1100.1,1,1,0,1,0.0001508,0.0001508,0.0004,0.000345
1119.2,1,1,0,1,0.0001534,0.0001534,0.0004,0.000345
1138.3,1,1,0,1,0.000156,0.000156,0.0004,0.000345
1157.2,1,1,0,1,0.0001586,0.0001586,0.0004,0.000345
1176.1,1,1,0,1,0.0001612,0.0001612,0.0004,0.000345
1195,1,1,0,1,0.0001638,0.0001638,0.0004,0.000345
1213.6,1,1,0,1,0.0001664,0.0001664,0.0004,0.000345
1232.1,1,1,0,1,0.000169,0.000169,0.0004,0.000345
1250.5,1,1,0,1,0.0001716,0.0001716,0.0004,0.000345
1268.9,1,1,0,1,0.0001742,0.0001742,0.0004,0.000345
1286.8,1,1,0,1,0.0001768,0.0001768,0.0004,0.000345
1304.4,1,1,0,1,0.0001794,0.0001794,0.0004,0.000345
1322,1,1,0,1,0.000182,0.000182,0.0004,0.000345
1339.6,1,1,0,1,0.0001846,0.0001846,0.0004,0.000345
1356.4,1,1,0,1,0.0001872,0.0001872,0.0004,0.000345
1372.9,1,1,0,1,0.0001898,0.0001898,0.0004,0.000345
