"temp","mpPhase","mpLiqPhase","vtkGhostType","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
567.86,0,0,0,1,0,0,0.0004,0.000345
567.87,0,0,0,1,2.6e-06,2.6e-06,0.0004,0.000345
567.95,0,0,0,1,5.2e-06,5.2e-06,0.0004,0.000345
568.85,0,0,0,1,7.8e-06,7.8e-06,0.0004,0.000345
569.75,0,0,0,1,1.04e-05,1.04e-05,0.0004,0.000345
570.65,0,0,0,1,1.3e-05,1.3e-05,0.0004,0.000345
571.77,0,0,0,1,1.56e-05,1.56e-05,0.0004,0.000345
573.6,0,0,0,1,1.82e-05,1.82e-05,0.0004,0.000345
575.43,0,0,0,1,2.08e-05,2.08e-05,0.0004,0.000345
577.26,0,0,0,1,2.34e-05,2.34e-05,0.0004,0.000345
579.45,0,0,0,1,2.6e-05,2.6e-05,0.0004,0.000345
582.2,0,0,0,1,2.86e-05,2.86e-05,0.0004,0.000345
584.96,0,0,0,1,3.12e-05,3.12e-05,0.0004,0.000345
587.71,0,0,0,1,3.38e-05,3.38e-05,0.0004,0.000345
590.93,0,0,0,1,3.64e-05,3.64e-05,0.0004,0.000345
594.54,0,0,0,1,3.9e-05,3.9e-05,0.0004,0.000345
598.15,0,0,0,1,4.16e-05,4.16e-05,0.0004,0.000345
601.76,0,0,0,1,4.42e-05,4.42e-05,0.0004,0.000345
605.94,0,0,0,1,4.68e-05,4.68e-05,0.0004,0.000345
610.37,0,0,0,1,4.94e-05,4.94e-05,0.0004,0.000345
614.79,0,0,0,1,5.2e-05,5.2e-05,0.0004,0.000345
619.22,0,0,0,1,5.46e-05,5.46e-05,0.0004,0.000345
624.31,0,0,0,1,5.72e-05,5.72e-05,0.0004,0.000345
629.52,0,0,0,1,5.98e-05,5.98e-05,0.0004,0.000345
634.72,0,0,0,1,6.24e-05,6.24e-05,0.0004,0.000345
639.93,0,0,0,1,6.5e-05,6.5e-05,0.0004,0.000345
645.87,0,0,0,1,6.76e-05,6.76e-05,0.0004,0.000345
651.82,0,0,0,1,7.02e-05,7.02e-05,0.0004,0.000345
657.76,0,0,0,1,7.28e-05,7.28e-05,0.0004,0.000345
663.81,0,0,0,1,7.54e-05,7.54e-05,0.0004,0.000345
670.43,0,0,0,1,7.8e-05,7.8e-05,0.0004,0.000345
677.05,0,0,0,1,8.06e-05,8.06e-05,0.0004,0.000345
683.68,0,0,0,1,8.32e-05,8.32e-05,0.0004,0.000345
690.49,0,0,0,1,8.58e-05,8.58e-05,0.0004,0.000345
697.73,0,0,0,1,8.84e-05,8.84e-05,0.0004,0.000345
704.97,0,0,0,1,9.1e-05,9.1e-05,0.0004,0.000345
712.21,0,0,0,1,9.36e-05,9.36e-05,0.0004,0.000345
719.71,0,0,0,1,9.62e-05,9.62e-05,0.0004,0.000345
727.5,0,0,0,1,9.88e-05,9.88e-05,0.0004,0.000345
735.29,0,0,0,1,0.0001014,0.0001014,0.0004,0.000345
743.08,0,0,0,1,0.000104,0.000104,0.0004,0.000345
751.16,0,0,0,1,0.0001066,0.0001066,0.0004,0.000345
759.42,0,0,0,1,0.0001092,0.0001092,0.0004,0.000345
767.69,0,0,0,1,0.0001118,0.0001118,0.0004,0.000345
775.95,0,0,0,1,0.0001144,0.0001144,0.0004,0.000345
784.51,0,0,0,1,0.000117,0.000117,0.0004,0.000345
793.17,0,0,0,1,0.0001196,0.0001196,0.0004,0.000345
801.82,0,0,0,1,0.0001222,0.0001222,0.0004,0.000345
810.48,0,0,0,1,0.0001248,0.0001248,0.0004,0.000345
819.42,0.24,0,0,1,0.0001274,0.0001274,0.0004,0.000345
828.38,0.5,0,0,1,0.00013,0.00013,0.0004,0.000345
837.35,0.76,0,0,1,0.0001326,0.0001326,0.0004,0.000345
846.33,1,0.02,0,1,0.0001352,0.0001352,0.0004,0.000345
855.51,1,0.28,0,1,0.0001378,0.0001378,0.0004,0.000345
864.69,1,0.54,0,1,0.0001404,0.0001404,0.0004,0.000345
873.88,1,0.8,0,1,0.000143,0.000143,0.0004,0.000345
883.09,1,1,0,1,0.0001456,0.0001456,0.0004,0.000345
892.4,1,1,0,1,0.0001482,0.0001482,0.0004,0.000345
901.71,1,1,0,1,0.0001508,0.0001508,0.0004,0.000345
911.02,1,1,0,1,0.0001534,0.0001534,0.0004,0.000345
920.34,1,1,0,1,0.000156,0.000156,0.0004,0.000345
929.69,1,1,0,1,0.0001586,0.0001586,0.0004,0.000345
939.03,1,1,0,1,0.0001612,0.0001612,0.0004,0.000345
948.38,1,1,0,1,0.0001638,0.0001638,0.0004,0.000345
957.7,1,1,0,1,0.0001664,0.0001664,0.0004,0.000345
967,1,1,0,1,0.000169,0.000169,0.0004,0.000345
976.3,1,1,0,1,0.0001716,0.0001716,0.0004,0.000345
985.59,1,1,0,1,0.0001742,0.0001742,0.0004,0.000345
994.83,1,1,0,1,0.0001768,0.0001768,0.0004,0.000345
1004,1,1,0,1,0.0001794,0.0001794,0.0004,0.000345
1013.2,1,1,0,1,0.000182,0.000182,0.0004,0.000345
1022.4,1,1,0,1,0.0001846,0.0001846,0.0004,0.000345
1031.5,1,1,0,1,0.0001872,0.0001872,0.0004,0.000345
1040.6,1,1,0,1,0.0001898,0.0001898,0.0004,0.000345
1049.7,1,1,0,1,0.0001924,0.0001924,0.0004,0.000345
1058.8,1,1,0,1,0.000195,0.000195,0.0004,0.000345
1067.8,1,1,0,1,0.0001976,0.0001976,0.0004,0.000345
1076.8,1,1,0,1,0.0002002,0.0002002,0.0004,0.000345
1085.8,1,1,0,1,0.0002028,0.0002028,0.0004,0.000345
1094.7,1,1,0,1,0.0002054,0.0002054,0.0004,0.000345
1103.5,1,1,0,1,0.000208,0.000208,0.0004,0.000345
1112.2,1,1,0,1,0.0002106,0.0002106,0.0004,0.000345
1121,1,1,0,1,0.0002132,0.0002132,0.0004,0.000345
1129.6,1,1,0,1,0.0002158,0.0002158,0.0004,0.000345
1138,1,1,0,1,0.0002184,0.0002184,0.0004,0.000345
1146.5,1,1,0,1,0.000221,0.000221,0.0004,0.000345
1154.9,1,1,0,1,0.0002236,0.0002236,0.0004,0.000345
1163.1,1,1,0,1,0.0002262,0.0002262,0.0004,0.000345
1171.1,1,1,0,1,0.0002288,0.0002288,0.0004,0.000345
1179.2,1,1,0,1,0.0002314,0.0002314,0.0004,0.000345
