"temp","mpPhase","mpLiqPhase","vtkGhostType","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
565.31,0,0,0,1,0,0,0.0004,0.000345
565.32,0,0,0,1,2.6e-06,2.6e-06,0.0004,0.000345
565.39,0,0,0,1,5.2e-06,5.2e-06,0.0004,0.000345
566.36,0,0,0,1,7.8e-06,7.8e-06,0.0004,0.000345
567.33,0,0,0,1,1.04e-05,1.04e-05,0.0004,0.000345
568.31,0,0,0,1,1.3e-05,1.3e-05,0.0004,0.000345
569.5,0,0,0,1,1.56e-05,1.56e-05,0.0004,0.000345
571.42,0,0,0,1,1.82e-05,1.82e-05,0.0004,0.000345
573.35,0,0,0,1,2.08e-05,2.08e-05,0.0004,0.000345
575.27,0,0,0,1,2.34e-05,2.34e-05,0.0004,0.000345
577.56,0,0,0,1,2.6e-05,2.6e-05,0.0004,0.000345
580.42,0,0,0,1,2.86e-05,2.86e-05,0.0004,0.000345
583.28,0,0,0,1,3.12e-05,3.12e-05,0.0004,0.000345
586.14,0,0,0,1,3.38e-05,3.38e-05,0.0004,0.000345
589.49,0,0,0,1,3.64e-05,3.64e-05,0.0004,0.000345
593.26,0,0,0,1,3.9e-05,3.9e-05,0.0004,0.000345
597.03,0,0,0,1,4.16e-05,4.16e-05,0.0004,0.000345
600.79,0,0,0,1,4.42e-05,4.42e-05,0.0004,0.000345
605.16,0,0,0,1,4.68e-05,4.68e-05,0.0004,0.000345
609.8,0,0,0,1,4.94e-05,4.94e-05,0.0004,0.000345
614.43,0,0,0,1,5.2e-05,5.2e-05,0.0004,0.000345
619.07,0,0,0,1,5.46e-05,5.46e-05,0.0004,0.000345
624.4,0,0,0,1,5.72e-05,5.72e-05,0.0004,0.000345
629.87,0,0,0,1,5.98e-05,5.98e-05,0.0004,0.000345
635.33,0,0,0,1,6.24e-05,6.24e-05,0.0004,0.000345
640.79,0,0,0,1,6.5e-05,6.5e-05,0.0004,0.000345
647.02,0,0,0,1,6.76e-05,6.76e-05,0.0004,0.000345
653.26,0,0,0,1,7.02e-05,7.02e-05,0.0004,0.000345
659.49,0,0,0,1,7.28e-05,7.28e-05,0.0004,0.000345
665.84,0,0,0,1,7.54e-05,7.54e-05,0.0004,0.000345
672.79,0,0,0,1,7.8e-05,7.8e-05,0.0004,0.000345
679.74,0,0,0,1,8.06e-05,8.06e-05,0.0004,0.000345
686.69,0,0,0,1,8.32e-05,8.32e-05,0.0004,0.000345
693.84,0,0,0,1,8.58e-05,8.58e-05,0.0004,0.000345
701.44,0,0,0,1,8.84e-05,8.84e-05,0.0004,0.000345
709.05,0,0,0,1,9.1e-05,9.1e-05,0.0004,0.000345
716.65,0,0,0,1,9.36e-05,9.36e-05,0.0004,0.000345
724.52,0,0,0,1,9.62e-05,9.62e-05,0.0004,0.000345
732.7,0,0,0,1,9.88e-05,9.88e-05,0.0004,0.000345
740.88,0,0,0,1,0.0001014,0.0001014,0.0004,0.000345
749.07,0,0,0,1,0.000104,0.000104,0.0004,0.000345
757.55,0,0,0,1,0.0001066,0.0001066,0.0004,0.000345
766.23,0,0,0,1,0.0001092,0.0001092,0.0004,0.000345
774.91,0,0,0,1,0.0001118,0.0001118,0.0004,0.000345
783.59,0,0,0,1,0.0001144,0.0001144,0.0004,0.000345
792.59,0,0,0,1,0.000117,0.000117,0.0004,0.000345
801.68,0,0,0,1,0.0001196,0.0001196,0.0004,0.000345
810.77,0,0,0,1,0.0001222,0.0001222,0.0004,0.000345
819.86,0,0,0,1,0.0001248,0.0001248,0.0004,0.000345
829.25,0.24,0,0,1,0.0001274,0.0001274,0.0004,0.000345
838.67,0.5,0,0,1,0.00013,0.00013,0.0004,0.000345
848.08,0.76,0,0,1,0.0001326,0.0001326,0.0004,0.000345
857.51,1,0.02,0,1,0.0001352,0.0001352,0.0004,0.000345
